STT,Giai đoạn,Công việc,Mô tả chi tiết,Người phụ trách,Dependencies,Trạng thái,Ghi chú
12.3,,Test traces collection,Verify traces từ instrumented apps xuất hiện trong Tempo,QA/DevOps,10.4,Chưa thực hiện,
12.4,,Test alerting end-to-end,Trigger test alerts và verify Telegram notifications,QA/DevOps,8.5,Chưa thực hiện,
12.5,,Test dashboard functionality,Kiểm tra tất cả dashboards hiển thị data chính xác,QA/DevOps,11.6,Chưa thực hiện,
12.6,,Load testing,Simulate high load và verify monitoring system stability,QA/DevOps,12.5,Chưa thực hiện,
13,GIAI ĐOẠN 13: DOCUMENTATION & TRAINING,,,,,, 
13.1,,Tạo runbooks,Viết runbooks cho common incidents theo INCIDENT_RESPONSE.md,DevOps Lead,12.4,Chưa thực hiện,
13.2,,Document network diagram,Cập nhật network diagram với actual IPs và ports,DevOps Lead,12.1,Chưa thực hiện,
13.3,,Tạo credentials list,Document tất cả usernames passwords API keys (lưu bảo mật),DevOps Lead,8.3,Chưa thực hiện,
13.4,,Training session cho team,Training về cách sử dụng Grafana query logs traces,DevOps Lead,12.5,Chưa thực hiện,
13.5,,Tạo troubleshooting guide,Document các vấn đề thường gặp và cách fix,DevOps Lead,12.6,Chưa thực hiện,
14,GIAI ĐOẠN 14: SECURITY & BACKUP,,,,,, 
14.1,,Enable Grafana authentication,Cấu hình LDAP/OAuth hoặc đổi default password,Security Team,2.3,Chưa thực hiện,
14.2,,Setup RBAC trong Grafana,Tạo teams: DevOps Developers Viewers với permissions khác nhau,Security Team,14.1,Chưa thực hiện,
14.3,,Cấu hình SSL/TLS cho Grafana,Generate SSL certs và enable HTTPS,Security Team,14.1,Chưa thực hiện,
14.4,,Backup Grafana dashboards,Export tất cả dashboards dạng JSON,DevOps Engineer,11.6,Chưa thực hiện,
14.5,,Backup Prometheus data,Tạo snapshot: promtool tsdb snapshot,DevOps Engineer,12.1,Chưa thực hiện,
14.6,,Backup config files,Tar tất cả configs: prometheus loki tempo grafana alertmanager,DevOps Engineer,"14.4,14.5",Chưa thực hiện,
14.7,,Setup automated backup script,Tạo cron job chạy backup hàng ngày,DevOps Engineer,14.6,Chưa thực hiện,
14.8,,Test restore procedure,Test restore dashboards và data từ backup,DevOps Engineer,14.7,Chưa thực hiện,
15,GIAI ĐOẠN 15: OPTIMIZATION & TUNING,,,,,, 
15.1,,Review retention policies,Điều chỉnh retention dựa trên disk usage: 15d metrics 7d logs/traces,DevOps Lead,12.6,Chưa thực hiện,
15.2,,Optimize scrape intervals,Review và điều chỉnh scrape_interval cho non-critical metrics,DevOps Engineer,12.1,Chưa thực hiện,
15.3,,Review alert rules,Remove noisy alerts tune thresholds based on baselines,DevOps Lead,12.4,Chưa thực hiện,
15.4,,Optimize dashboard queries,Review và optimize slow queries trong dashboards,DevOps Engineer,12.5,Chưa thực hiện,
15.5,,Setup query result caching,Enable caching trong Grafana để giảm load,DevOps Engineer,15.4,Chưa thực hiện,
15.6,,Review cardinality,Check Prometheus metrics cardinality drop unused labels,DevOps Engineer,15.2,Chưa thực hiện,
16,GIAI ĐOẠN 16: MONITORING THE MONITORING,,,,,, 
16.1,,Setup self-monitoring dashboard,Dashboard cho monitor server: CPU RAM Disk Network của chính nó,DevOps Engineer,11.6,Chưa thực hiện,
16.2,,Alert on monitoring system issues,Alert khi Prometheus/Loki/Tempo down hoặc disk full,DevOps Engineer,16.1,Chưa thực hiện,
16.3,,Monitor scrape success rate,Track Prometheus scrape success rate alert nếu < 95%,DevOps Engineer,16.2,Chưa thực hiện,
16.4,,Setup external uptime monitoring,Sử dụng UptimeRobot hoặc Pingdom monitor Grafana từ bên ngoài,DevOps Lead,16.2,Chưa thực hiện,
17,GIAI ĐOẠN 17: GO-LIVE & HANDOVER,,,,,, 
17.1,,Final verification checklist,Review tất cả items trong checklist này,DevOps Lead,"12.1,12.2,12.3,12.4,12.5",Chưa thực hiện,
17.2,,Define SLI/SLO,Định nghĩa SLI/SLO cho critical services theo SRE_BEST_PRACTICES.md,DevOps Lead,17.1,Chưa thực hiện,
17.3,,Setup on-call rotation,Định nghĩa on-call schedule và escalation procedures,DevOps Lead,13.4,Chưa thực hiện,
17.4,,Go-live announcement,Thông báo cho team về monitoring system và cách sử dụng,DevOps Lead,"17.1,17.2,17.3",Chưa thực hiện,
17.5,,Post-deployment review,Review sau 1 tuần: MTTD MTTR alert quality,DevOps Lead,17.4,Chưa thực hiện,
17.6,,Handover to operations team,Bàn giao documentation runbooks credentials cho ops team,DevOps Lead,17.5,Chưa thực hiện,
18,GIAI ĐOẠN 18: CONTINUOUS IMPROVEMENT,,,,,, 
18.1,,Weekly alert review,Review top 10 alerts tune thresholds remove noise,DevOps Lead,17.5,Chưa thực hiện,Recurring task
18.2,,Monthly capacity planning,Analyze disk CPU memory trends plan for growth,DevOps Lead,17.5,Chưa thực hiện,Recurring task
18.3,,Quarterly retention review,Review và optimize retention policies based on usage,DevOps Lead,17.5,Chưa thực hiện,Recurring task
18.4,,Update exporters to latest versions,Check và update Node Exporter DB exporters etc,DevOps Engineer,17.5,Chưa thực hiện,Recurring task
18.5,,Review và update runbooks,Update runbooks based on new incidents và learnings,DevOps Lead,17.5,Chưa thực hiện,Recurring task
